register_number,name,gender,department_code,class_name,year,email,phone
24001,Aarav Sharma,Male,BSC-CS,II B.Sc CS,2,aarav.sharma24001@college.edu,9800024001
24002,Aditi Singh,Female,BSC-CS,II B.Sc CS,2,aditi.singh24002@college.edu,9800024002
24003,Arjun Gupta,Male,BSC-CS,II B.Sc CS,2,arjun.gupta24003@college.edu,9800024003
24004,Ananya Mehta,Female,BSC-CS,II B.Sc CS,2,ananya.mehta24004@college.edu,9800024004
24005,Rohan Das,Male,BSC-CS,II B.Sc CS,2,rohan.das24005@college.edu,9800024005
24006,Priya Malhotra,Female,BSC-CS,II B.Sc CS,2,priya.malhotra24006@college.edu,9800024006
24007,Vikram Krishnan,Male,BSC-CS,II B.Sc CS,2,vikram.krishnan24007@college.edu,9800024007
24008,Sneha Patel,Female,BSC-CS,II B.Sc CS,2,sneha.patel24008@college.edu,9800024008
24009,Karan Reddy,Male,BSC-CS,II B.Sc CS,2,karan.reddy24009@college.edu,9800024009
24010,Meera Iyer,Female,BSC-CS,II B.Sc CS,2,meera.iyer24010@college.edu,9800024010
24011,Rahul Pillai,Male,BSC-CS,II B.Sc CS,2,rahul.pillai24011@college.edu,9800024011
24012,Divya Banerjee,Female,BSC-CS,II B.Sc CS,2,divya.banerjee24012@college.edu,9800024012
24013,Amit Agarwal,Male,BSC-CS,II B.Sc CS,2,amit.agarwal24013@college.edu,9800024013
24014,Pooja Menon,Female,BSC-CS,II B.Sc CS,2,pooja.menon24014@college.edu,9800024014
24015,Suresh Kumar,Male,BSC-CS,II B.Sc CS,2,suresh.kumar24015@college.edu,9800024015
24016,Kavya Nair,Female,BSC-CS,II B.Sc CS,2,kavya.nair24016@college.edu,9800024016
24017,Nikhil Joshi,Male,BSC-CS,II B.Sc CS,2,nikhil.joshi24017@college.edu,9800024017
24018,Riya Rao,Female,BSC-CS,II B.Sc CS,2,riya.rao24018@college.edu,9800024018
24019,Varun Choudhary,Male,BSC-CS,II B.Sc CS,2,varun.choudhary24019@college.edu,9800024019
24020,Isha Verma,Female,BSC-CS,II B.Sc CS,2,isha.verma24020@college.edu,9800024020
24021,Siddharth Sharma,Male,BSC-CS,II B.Sc CS,2,siddharth.sharma24021@college.edu,9800024021
24022,Neha Singh,Female,BSC-CS,II B.Sc CS,2,neha.singh24022@college.edu,9800024022
24023,Abhishek Gupta,Male,BSC-CS,II B.Sc CS,2,abhishek.gupta24023@college.edu,9800024023
24024,Shreya Mehta,Female,BSC-CS,II B.Sc CS,2,shreya.mehta24024@college.edu,9800024024
24025,Manish Das,Male,BSC-CS,II B.Sc CS,2,manish.das24025@college.edu,9800024025
24026,Anjali Malhotra,Female,BSC-CS,II B.Sc CS,2,anjali.malhotra24026@college.edu,9800024026
24027,Deepak Krishnan,Male,BSC-CS,II B.Sc CS,2,deepak.krishnan24027@college.edu,9800024027
24028,Swati Patel,Female,BSC-CS,II B.Sc CS,2,swati.patel24028@college.edu,9800024028
24029,Rajesh Reddy,Male,BSC-CS,II B.Sc CS,2,rajesh.reddy24029@college.edu,9800024029
24030,Lakshmi Iyer,Female,BSC-CS,II B.Sc CS,2,lakshmi.iyer24030@college.edu,9800024030
24031,Karthik Pillai,Male,BSC-CS,II B.Sc CS,2,karthik.pillai24031@college.edu,9800024031
24032,Harini Banerjee,Female,BSC-CS,II B.Sc CS,2,harini.banerjee24032@college.edu,9800024032
24033,Gokul Agarwal,Male,BSC-CS,II B.Sc CS,2,gokul.agarwal24033@college.edu,9800024033
24034,Nandini Menon,Female,BSC-CS,II B.Sc CS,2,nandini.menon24034@college.edu,9800024034
24035,Mohan Kumar,Male,BSC-CS,II B.Sc CS,2,mohan.kumar24035@college.edu,9800024035
24036,Swetha Nair,Female,BSC-CS,II B.Sc CS,2,swetha.nair24036@college.edu,9800024036
24037,Jagan Joshi,Male,BSC-CS,II B.Sc CS,2,jagan.joshi24037@college.edu,9800024037
24038,Keerthana Rao,Female,BSC-CS,II B.Sc CS,2,keerthana.rao24038@college.edu,9800024038
24039,Pranav Choudhary,Male,BSC-CS,II B.Sc CS,2,pranav.choudhary24039@college.edu,9800024039
24040,Sowmya Verma,Female,BSC-CS,II B.Sc CS,2,sowmya.verma24040@college.edu,9800024040
24041,Yash Sharma,Male,BSC-CS,II B.Sc CS,2,yash.sharma24041@college.edu,9800024041
24042,Tanvi Singh,Female,BSC-CS,II B.Sc CS,2,tanvi.singh24042@college.edu,9800024042
24043,Ayaan Gupta,Male,BSC-CS,II B.Sc CS,2,ayaan.gupta24043@college.edu,9800024043
24044,Ishita Mehta,Female,BSC-CS,II B.Sc CS,2,ishita.mehta24044@college.edu,9800024044
24045,Dhruv Das,Male,BSC-CS,II B.Sc CS,2,dhruv.das24045@college.edu,9800024045
24046,Myra Malhotra,Female,BSC-CS,II B.Sc CS,2,myra.malhotra24046@college.edu,9800024046
24047,Kabir Krishnan,Male,BSC-CS,II B.Sc CS,2,kabir.krishnan24047@college.edu,9800024047
24048,Anika Patel,Female,BSC-CS,II B.Sc CS,2,anika.patel24048@college.edu,9800024048
24049,Reyansh Reddy,Male,BSC-CS,II B.Sc CS,2,reyansh.reddy24049@college.edu,9800024049
24050,Sara Iyer,Female,BSC-CS,II B.Sc CS,2,sara.iyer24050@college.edu,9800024050
24051,Aarav Pillai,Male,BSC-CS,II B.Sc CS,2,aarav.pillai24051@college.edu,9800024051
24052,Aditi Banerjee,Female,BSC-CS,II B.Sc CS,2,aditi.banerjee24052@college.edu,9800024052
24053,Arjun Agarwal,Male,BSC-CS,II B.Sc CS,2,arjun.agarwal24053@college.edu,9800024053
24054,Ananya Menon,Female,BSC-CS,II B.Sc CS,2,ananya.menon24054@college.edu,9800024054
24055,Rohan Kumar,Male,BSC-CS,II B.Sc CS,2,rohan.kumar24055@college.edu,9800024055
24056,Priya Nair,Female,BSC-CS,II B.Sc CS,2,priya.nair24056@college.edu,9800024056
24057,Vikram Joshi,Male,BSC-CS,II B.Sc CS,2,vikram.joshi24057@college.edu,9800024057
24058,Sneha Rao,Female,BSC-CS,II B.Sc CS,2,sneha.rao24058@college.edu,9800024058
24059,Karan Choudhary,Male,BSC-CS,II B.Sc CS,2,karan.choudhary24059@college.edu,9800024059
24060,Meera Verma,Female,BSC-CS,II B.Sc CS,2,meera.verma24060@college.edu,9800024060
24061,Rahul Sharma,Male,BSC-CS,III B.Sc CS,3,rahul.sharma24061@college.edu,9800024061
24062,Divya Singh,Female,BSC-CS,III B.Sc CS,3,divya.singh24062@college.edu,9800024062
24063,Amit Gupta,Male,BSC-CS,III B.Sc CS,3,amit.gupta24063@college.edu,9800024063
24064,Pooja Mehta,Female,BSC-CS,III B.Sc CS,3,pooja.mehta24064@college.edu,9800024064
24065,Suresh Das,Male,BSC-CS,III B.Sc CS,3,suresh.das24065@college.edu,9800024065
24066,Kavya Malhotra,Female,BSC-CS,III B.Sc CS,3,kavya.malhotra24066@college.edu,9800024066
24067,Nikhil Krishnan,Male,BSC-CS,III B.Sc CS,3,nikhil.krishnan24067@college.edu,9800024067
24068,Riya Patel,Female,BSC-CS,III B.Sc CS,3,riya.patel24068@college.edu,9800024068
24069,Varun Reddy,Male,BSC-CS,III B.Sc CS,3,varun.reddy24069@college.edu,9800024069
24070,Isha Iyer,Female,BSC-CS,III B.Sc CS,3,isha.iyer24070@college.edu,9800024070
24071,Siddharth Pillai,Male,BSC-CS,III B.Sc CS,3,siddharth.pillai24071@college.edu,9800024071
24072,Neha Banerjee,Female,BSC-CS,III B.Sc CS,3,neha.banerjee24072@college.edu,9800024072
24073,Abhishek Agarwal,Male,BSC-CS,III B.Sc CS,3,abhishek.agarwal24073@college.edu,9800024073
24074,Shreya Menon,Female,BSC-CS,III B.Sc CS,3,shreya.menon24074@college.edu,9800024074
24075,Manish Kumar,Male,BSC-CS,III B.Sc CS,3,manish.kumar24075@college.edu,9800024075
